ano,mês,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
1983,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1983,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0
1983,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,12.6,
1983,12,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,83,21.2,0,0
1984,1,1.4,0,0,22,0,0,0,0,0,6.6,0,12,0,0,36,4.8,0,0,0,0,30.2,0,0,0,42.2,0,16,20.4,0,0,0
1984,2,0,0,2.4,0,28.8,40.2,31.8,31.4,0,2.2,0,0,5.6,5.4,8.4,47.2,0,0,21.2,20,0,0,0,0,15,7,0,0,,,
1984,3,30.8,32.8,49,4.8,16.8,0,15.4,0,0,6.8,23.6,0,0,40.6,10.2,10,33,2,0,14,0,0,0,0,0,40.4,39.2,14,0,0,0
1984,4,6.8,16.4,29,39.8,0,8.6,0,29.4,9.8,8,0,22.4,0,18.6,68,28.2,6.4,76.4,2.2,18.4,4.8,44.4,4.8,16.4,2.6,9.4,1.8,45,0,7.8,
1984,5,0,12.8,21.6,0,40.6,0,15,6.4,0,13.8,0,0,0,0,0,0,0,0,0,8.6,10.6,11.8,44.6,0,11.8,17.4,0,0,0,0,0
1984,6,0,0,0,0,0,4.1,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,
1984,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,1.3,0,0,0,0,0,0,0
1984,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,55.4,31.4,1.3
1984,9,0,1.1,0,0,2.1,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,
1984,10,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0
1984,11,0,0,0.6,0,0,1.2,0,0,0,0,1.3,0,0,0,29.2,0,15.8,3.4,0,0,2.7,0,0,0,0,0,0,0,0,0,
1984,12,0,0,1.4,1.2,0,0,1.3,6.4,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,12.6,0,0,0
